onset	duration	sample	value
0	n/a	0	boundary
24.966	0.002	12483	202
32.158	0.002	16079	202
36.108	0.002	18054	121
36.926	0.002	18463	201
37.692	0.002	18846	112
38.43	0.002	19215	202
39.284	0.002	19642	121
39.766	0.002	19883	202
40.826	0.002	20413	111
41.27	0.002	20635	201
42.376	0.002	21188	121
42.966	0.002	21483	202
43.876	0.002	21938	111
44.422	0.002	22211	201
45.31	0.002	22655	112
45.774	0.002	22887	202
46.826	0.002	23413	122
47.382	0.002	23691	202
48.252	0.002	24126	112
48.814	0.002	24407	202
49.71	0.002	24855	122
50.382	0.002	25191	201
74.556	0.002	37278	202
79.054	0.002	39527	202
83.13	0.002	41565	111
83.902	0.002	41951	202
84.596	0.002	42298	112
85.118	0.002	42559	202
86.022	0.002	43011	111
86.548	0.002	43274	201
87.48	0.002	43740	111
87.924	0.002	43962	201
88.948	0.002	44474	112
89.764	0.002	44882	202
90.514	0.002	45257	121
90.988	0.002	45494	202
91.972	0.002	45986	121
92.58	0.002	46290	202
93.53	0.002	46765	121
94.268	0.002	47134	202
95.064	0.002	47532	111
95.988	0.002	47994	201
96.606	0.002	48303	112
97.254	0.002	48627	202
98.064	0.002	49032	122
98.668	0.002	49334	202
99.648	0.002	49824	121
100.068	0.002	50034	202
101.156	0.002	50578	121
101.652	0.002	50826	201
102.732	0.002	51366	111
103.556	0.002	51778	201
104.298	0.002	52149	111
104.86	0.002	52430	202
105.866	0.002	52933	111
106.516	0.002	53258	202
107.29	0.002	53645	112
107.972	0.002	53986	201
108.832	0.002	54416	112
109.492	0.002	54746	202
110.308	0.002	55154	111
110.98	0.002	55490	201
111.882	0.002	55941	121
112.692	0.002	56346	201
113.342	0.002	56671	112
113.988	0.002	56994	201
114.924	0.002	57462	121
115.732	0.002	57866	201
116.45	0.002	58225	121
117.596	0.002	58798	202
117.984	0.002	58992	122
118.692	0.002	59346	201
119.458	0.002	59729	121
120.332	0.002	60166	202
121.034	0.002	60517	112
121.78	0.002	60890	202
122.558	0.002	61279	121
123.244	0.002	61622	201
124.068	0.002	62034	122
125.492	0.002	62746	121
125.948	0.002	62974	201
126.892	0.002	63446	122
127.556	0.002	63778	201
128.41	0.002	64205	122
128.828	0.002	64414	201
129.91	0.002	64955	112
130.676	0.002	65338	202
131.492	0.002	65746	122
132.332	0.002	66166	202
133.026	0.002	66513	112
133.764	0.002	66882	201
134.51	0.002	67255	122
135.532	0.002	67766	202
135.976	0.002	67988	112
136.956	0.002	68478	202
137.468	0.002	68734	122
138.676	0.002	69338	202
138.876	0.002	69438	112
139.58	0.002	69790	202
140.394	0.002	70197	121
141.1	0.002	70550	201
141.836	0.002	70918	111
142.452	0.002	71226	201
147.212	0.002	73606	202
155.676	0.002	77838	202
159.654	0.002	79827	111
160.356	0.002	80178	201
161.23	0.002	80615	111
161.636	0.002	80818	201
162.822	0.002	81411	121
163.356	0.002	81678	201
164.322	0.002	82161	112
164.82	0.002	82410	202
165.076	0.002	82538	202
165.912	0.002	82956	121
166.42	0.002	83210	201
167.354	0.002	83677	111
167.956	0.002	83978	201
168.772	0.002	84386	121
169.38	0.002	84690	201
170.264	0.002	85132	121
170.804	0.002	85402	201
171.822	0.002	85911	111
172.244	0.002	86122	201
173.256	0.002	86628	112
173.764	0.002	86882	201
174.672	0.002	87336	111
175.084	0.002	87542	201
176.106	0.002	88053	111
176.564	0.002	88282	201
177.522	0.002	88761	122
177.972	0.002	88986	201
179.122	0.002	89561	121
179.652	0.002	89826	201
180.54	0.002	90270	121
180.996	0.002	90498	201
182.082	0.002	91041	122
182.5	0.002	91250	201
183.49	0.002	91745	122
183.956	0.002	91978	202
